ano,sigla_uf,id_municipio,rede,tipo_localizacao,quantidade_alunos_inse,inse,percentual_nivel_1,percentual_nivel_2,percentual_nivel_3,percentual_nivel_4,percentual_nivel_5,percentual_nivel_6,percentual_nivel_7,percentual_nivel_8
2019,RO,1100148,6,0,608,4.6269,0,21.79,22.95,25.85,16.37,8.94,3.94,0.15
2019,RO,1100148,6,1,486,4.7183,0,17.9,21.92,26.39,17.97,10.93,4.7,0.19
2019,RO,1100155,0,0,1189,4.7586,0.37,15.7,22.14,25.74,20.79,9.78,5.28,0.2
2019,RO,1100155,0,1,1123,4.7612,0.39,15.63,22.22,25.41,21,9.75,5.38,0.21
2019,RO,1100155,2,0,654,4.7877,0.5,14.96,21.27,25.66,21.2,9.79,6.27,0.36
2019,RO,1100155,2,1,654,4.7877,0.5,14.96,21.27,25.66,21.2,9.79,6.27,0.36
2019,RO,1100155,5,0,1189,4.7586,0.37,15.7,22.14,25.74,20.79,9.78,5.28,0.2
2019,RO,1100155,5,1,1123,4.7612,0.39,15.63,22.22,25.41,21,9.75,5.38,0.21
2019,RO,1100155,6,0,1189,4.7586,0.37,15.7,22.14,25.74,20.79,9.78,5.28,0.2
2019,RO,1100155,6,1,1123,4.7612,0.39,15.63,22.22,25.41,21,9.75,5.38,0.21
2019,RO,1100189,0,0,1246,4.8167,0.46,14.67,20.32,24.86,20.93,10.48,7.57,0.71
2019,RO,1100189,0,1,1114,4.8504,0.19,13.79,19.52,25.55,21.3,10.97,7.89,0.8
2019,RO,1100189,2,0,824,4.7806,0.71,16.15,21.13,23.82,20.16,9.85,7.71,0.48
2019,RO,1100189,2,1,730,4.8292,0.29,15.05,19.61,25.27,20.36,10.65,8.24,0.54
2019,RO,1100189,3,0,422,4.885,0,11.87,18.79,26.83,22.39,11.67,7.3,1.14
2019,RO,1100189,3,1,384,4.8891,0,11.5,19.34,26.07,23.01,11.57,7.25,1.26
2019,RO,1100189,5,0,1246,4.8167,0.46,14.67,20.32,24.86,20.93,10.48,7.57,0.71
2019,RO,1100189,5,1,1114,4.8504,0.19,13.79,19.52,25.55,21.3,10.97,7.89,0.8
2019,RO,1100189,6,0,1246,4.8167,0.46,14.67,20.32,24.86,20.93,10.48,7.57,0.71
2019,RO,1100189,6,1,1114,4.8504,0.19,13.79,19.52,25.55,21.3,10.97,7.89,0.8
2019,RO,1100205,0,0,14313,4.8622,0.26,14.36,20.89,23.2,19.75,12.21,8.33,1.01
2019,RO,1100205,0,1,13375,4.8923,0.29,13.78,20.12,22.82,20.21,12.81,8.86,1.1
2019,RO,1100205,0,2,938,4.5603,0,20.17,28.59,27.02,15.08,6.12,2.92,0.08
2019,RO,1100205,1,0,379,5.1451,0,6.52,15.07,22.04,23.07,18.72,13.53,1.06
2019,RO,1100205,1,1,379,5.1451,0,6.52,15.07,22.04,23.07,18.72,13.53,1.06
2019,RO,1100205,2,0,9381,4.9076,0.27,13.58,19.56,22.55,20.51,13.37,9.09,1.07
2019,RO,1100205,2,1,9148,4.9199,0.28,13.25,19.29,22.43,20.76,13.59,9.3,1.11
2019,RO,1100205,3,0,4553,4.7464,0.26,16.59,24.1,24.65,17.89,9.29,6.35,0.87
2019,RO,1100205,3,1,3848,4.7967,0.34,15.85,22.77,23.91,18.51,10.26,7.29,1.08
2019,RO,1100205,3,2,705,4.566,0,19.21,28.86,27.32,15.67,5.82,3,0.11
2019,RO,1100205,5,0,13934,4.8554,0.27,14.55,21.03,23.23,19.67,12.05,8.2,1
2019,RO,1100205,5,1,12996,4.8856,0.3,13.98,20.26,22.84,20.13,12.66,8.74,1.1
2019,RO,1100205,5,2,938,4.5603,0,20.17,28.59,27.02,15.08,6.12,2.92,0.08
2019,RO,1100205,6,0,14313,4.8622,0.26,14.36,20.89,23.2,19.75,12.21,8.33,1.01
2019,RO,1100205,6,1,13375,4.8923,0.29,13.78,20.12,22.82,20.21,12.81,8.86,1.1
2019,RO,1100205,6,2,938,4.5603,0,20.17,28.59,27.02,15.08,6.12,2.92,0.08
2019,RO,1100254,0,0,721,4.7542,0.7,14.39,25.86,22.77,19.24,10.24,6.3,0.51
2019,RO,1100254,0,1,701,4.7655,0.54,14.35,25.53,22.7,19.41,10.59,6.35,0.53
2019,RO,1100254,2,0,558,4.811,0.32,13.5,24.22,22.48,20.66,10.75,7.4,0.66
2019,RO,1100254,2,1,547,4.8122,0.33,13.6,24.15,22.37,20.51,11,7.37,0.68
2019,RO,1100254,5,0,721,4.7542,0.7,14.39,25.86,22.77,19.24,10.24,6.3,0.51
2019,RO,1100254,5,1,701,4.7655,0.54,14.35,25.53,22.7,19.41,10.59,6.35,0.53
2019,RO,1100254,6,0,721,4.7542,0.7,14.39,25.86,22.77,19.24,10.24,6.3,0.51
2019,RO,1100254,6,1,701,4.7655,0.54,14.35,25.53,22.7,19.41,10.59,6.35,0.53
2019,RO,1100288,0,0,1943,4.8427,0.22,11.25,22.76,26.74,19.58,12.68,6.27,0.51
2019,RO,1100288,0,1,1790,4.8501,0.24,11.46,22.76,25.98,19.18,13.26,6.61,0.51
2019,RO,1100288,0,2,153,4.7523,0,8.65,22.77,35.91,24.36,5.65,2.11,0.55
2019,RO,1100288,2,0,1345,4.8782,0.32,10.35,22.76,26.02,18.56,14.34,7.04,0.6
2019,RO,1100288,2,1,1345,4.8782,0.32,10.35,22.76,26.02,18.56,14.34,7.04,0.6
2019,RO,1100288,3,0,598,4.7619,0,13.3,22.74,28.36,21.89,8.89,4.51,0.32
2019,RO,1100288,3,1,445,4.7651,0,14.83,22.73,25.87,21.07,9.96,5.3,0.24
2019,RO,1100288,3,2,153,4.7523,0,8.65,22.77,35.91,24.36,5.65,2.11,0.55
2019,RO,1100288,5,0,1943,4.8427,0.22,11.25,22.76,26.74,19.58,12.68,6.27,0.51
2019,RO,1100288,5,1,1790,4.8501,0.24,11.46,22.76,25.98,19.18,13.26,6.61,0.51
2019,RO,1100288,5,2,153,4.7523,0,8.65,22.77,35.91,24.36,5.65,2.11,0.55
2019,RO,1100288,6,0,1943,4.8427,0.22,11.25,22.76,26.74,19.58,12.68,6.27,0.51
2019,RO,1100288,6,1,1790,4.8501,0.24,11.46,22.76,25.98,19.18,13.26,6.61,0.51
2019,RO,1100288,6,2,153,4.7523,0,8.65,22.77,35.91,24.36,5.65,2.11,0.55
2019,RO,1100304,0,0,2948,4.9733,0.17,9.89,18.57,24.2,23.14,13.63,9.38,1.01
2019,RO,1100304,0,1,2851,4.9832,0.18,9.79,18.45,23.81,23.23,13.91,9.58,1.04
2019,RO,1100304,1,0,106,5.2236,0,2.99,13.37,25.66,24.41,16.02,16.72,0.83
2019,RO,1100304,1,1,106,5.2236,0,2.99,13.37,25.66,24.41,16.02,16.72,0.83
2019,RO,1100304,2,0,1452,4.9999,0.28,9.8,18.14,22.73,23.16,14.59,10.21,1.08
2019,RO,1100304,2,1,1452,4.9999,0.28,9.8,18.14,22.73,23.16,14.59,10.21,1.08
2019,RO,1100304,3,0,1390,4.9188,0.07,10.65,19.56,25.78,22.99,12.29,7.72,0.94
2019,RO,1100304,3,1,1293,4.9377,0.08,10.46,19.36,24.99,23.2,12.83,8.06,1.02
2019,RO,1100304,5,0,2842,4.9625,0.18,10.19,18.8,24.13,23.08,13.53,9.07,1.02
2019,RO,1100304,5,1,2745,4.9725,0.19,10.09,18.68,23.72,23.18,13.81,9.26,1.05
2019,RO,1100304,6,0,2948,4.9733,0.17,9.89,18.57,24.2,23.14,13.63,9.38,1.01
2019,RO,1100304,6,1,2851,4.9832,0.18,9.79,18.45,23.81,23.23,13.91,9.58,1.04
2019,RO,1100320,0,0,761,4.6222,0.25,18.08,26.05,28.3,16.73,7.46,3,0.13
2019,RO,1100320,0,1,571,4.6713,0.17,16.84,25.03,28.67,16.73,8.76,3.63,0.17
2019,RO,1100320,3,0,411,4.5737,0.45,19.29,27.59,28.46,15.64,5.08,3.25,0.24
2019,RO,1100320,3,1,221,4.6587,0.42,17.1,26.24,29.53,14.76,6.44,5.06,0.44
2019,RO,1100320,5,0,761,4.6222,0.25,18.08,26.05,28.3,16.73,7.46,3,0.13
2019,RO,1100320,5,1,571,4.6713,0.17,16.84,25.03,28.67,16.73,8.76,3.63,0.17
2019,RO,1100320,6,0,761,4.6222,0.25,18.08,26.05,28.3,16.73,7.46,3,0.13
2019,RO,1100320,6,1,571,4.6713,0.17,16.84,25.03,28.67,16.73,8.76,3.63,0.17
2019,RO,1100346,0,0,485,4.6608,0.17,18.17,27.03,24.92,16.43,8.6,4.15,0.53
2019,RO,1100346,0,1,460,4.6729,0.18,18.08,26.32,24.74,17.1,8.85,4.16,0.56
2019,RO,1100346,2,0,253,4.7328,0,15.74,24.46,26.25,18.07,10.41,4.73,0.34
2019,RO,1100346,2,1,253,4.7328,0,15.74,24.46,26.25,18.07,10.41,4.73,0.34
2019,RO,1100346,3,0,232,4.5745,0.38,21.08,30.12,23.31,14.46,6.43,3.46,0.75
2019,RO,1100346,3,1,207,4.5918,0.43,21.25,28.84,22.69,15.8,6.74,3.4,0.85
2019,RO,1100346,5,0,485,4.6608,0.17,18.17,27.03,24.92,16.43,8.6,4.15,0.53
2019,RO,1100346,5,1,460,4.6729,0.18,18.08,26.32,24.74,17.1,8.85,4.16,0.56
2019,RO,1100346,6,0,485,4.6608,0.17,18.17,27.03,24.92,16.43,8.6,4.15,0.53
2019,RO,1100346,6,1,460,4.6729,0.18,18.08,26.32,24.74,17.1,8.85,4.16,0.56
2019,RO,1100379,0,0,486,4.5491,0,21.08,27.76,29.07,14.18,5.29,2.43,0.2
2019,RO,1100379,0,1,314,4.5769,0,20.68,29.05,24.47,16.08,6.26,3.15,0.31
2019,RO,1100379,2,0,202,4.6634,0,16.79,25.63,27.07,20.3,6.29,3.45,0.47
2019,RO,1100379,2,1,202,4.6634,0,16.79,25.63,27.07,20.3,6.29,3.45,0.47
2019,RO,1100379,5,0,486,4.5491,0,21.08,27.76,29.07,14.18,5.29,2.43,0.2
2019,RO,1100379,5,1,314,4.5769,0,20.68,29.05,24.47,16.08,6.26,3.15,0.31
2019,RO,1100379,6,0,486,4.5491,0,21.08,27.76,29.07,14.18,5.29,2.43,0.2
2019,RO,1100379,6,1,314,4.5769,0,20.68,29.05,24.47,16.08,6.26,3.15,0.31
2019,RO,1100452,0,0,1295,4.6038,0.24,21.17,24.77,27.57,14.19,6.77,4.83,0.46
2019,RO,1100452,0,1,1139,4.5957,0.27,22.23,24.21,27.3,13.3,7.22,4.96,0.52
2019,RO,1100452,2,0,780,4.5772,0.27,22.49,23.7,29.21,12.98,7.02,4.06,0.27
2019,RO,1100452,2,1,780,4.5772,0.27,22.49,23.7,29.21,12.98,7.02,4.06,0.27
2019,RO,1100452,3,0,515,4.6463,0.2,19.05,26.48,24.93,16.13,6.36,6.07,0.76
2019,RO,1100452,3,1,359,4.6374,0.28,21.65,25.35,22.97,14.04,7.65,6.99,1.07
2019,RO,1100452,5,0,1295,4.6038,0.24,21.17,24.77,27.57,14.19,6.77,4.83,0.46
2019,RO,1100452,5,1,1139,4.5957,0.27,22.23,24.21,27.3,13.3,7.22,4.96,0.52
2019,RO,1100452,6,0,1295,4.6038,0.24,21.17,24.77,27.57,14.19,6.77,4.83,0.46
2019,RO,1100452,6,1,1139,4.5957,0.27,22.23,24.21,27.3,13.3,7.22,4.96,0.52
2019,RO,1100700,0,0,413,4.6624,0.7,15.37,25.88,28.35,18.02,7.46,3.98,0.24
2019,RO,1100700,0,1,219,4.6643,1.39,16.62,24.35,27.51,15.02,9.1,5.55,0.47
2019,RO,1100700,2,0,200,4.6731,0.91,15.37,28.2,26.2,15.03,7.98,5.83,0.47
2019,RO,1100700,2,1,143,4.6809,1.33,15.9,27.12,26.69,12.16,8.6,7.53,0.68
2019,RO,1100700,5,0,413,4.6624,0.7,15.37,25.88,28.35,18.02,7.46,3.98,0.24
2019,RO,1100700,5,1,219,4.6643,1.39,16.62,24.35,27.51,15.02,9.1,5.55,0.47
2019,RO,1100700,6,0,413,4.6624,0.7,15.37,25.88,28.35,18.02,7.46,3.98,0.24
2019,RO,1100700,6,1,219,4.6643,1.39,16.62,24.35,27.51,15.02,9.1,5.55,0.47
2019,RO,1100809,0,0,767,4.6013,1.03,20.75,25.29,25.04,15.22,8.27,3.93,0.47
2019,RO,1100809,0,1,606,4.6158,0.87,21.05,23.48,25.99,15.51,8.1,4.4,0.6
