sk_municipio,sk_tempo,sk_rede,despesa_liquidada_educacao,desp_liq_fundamental,desp_liq_infantil,despesa_empenhada_educacao,desp_emp_fundamental,desp_emp_infantil,mat_creche,mat_pre_escola,mat_anos_iniciais,mat_anos_finais,mat_especial_classes_comuns,docentes_iniciais,docentes_finais,turmas_iniciais,turmas_finais,escolas_creche,escolas_pre_escola,escolas_iniciais,escolas_finais,ideb_iniciais,ideb_meta_iniciais,rendimento_iniciais,saeb_mat_iniciais,saeb_lp_iniciais,saeb_nota_iniciais,ideb_finais,ideb_meta_finais,rendimento_finais,saeb_mat_finais,saeb_lp_finais,saeb_nota_finais,inse_score,inse_classificacao,qtd_alunos_inse
3507506,2016,3,,,,,,,2197,2193,6585,1620,186,287,73,272,61,22,24,21,4,,,,,,,,,,,,,,,
3514403,2016,2,,,,,,,0,0,0,1561,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,
3514403,2016,3,,,,,,,984,808,1986,74,73,145,14,98,7,9,9,9,2,,,,,,,,,,,,,,,
3516606,2016,2,,,,,,,0,0,0,243,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
3516606,2016,3,,,,,,,118,151,362,0,11,21,0,17,0,1,1,1,0,,,,,,,,,,,,,,,
3516705,2016,2,,,,,,,0,0,0,1776,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,
3516705,2016,3,27284852.84,16005242.12,6509643.75,27518318.08,16113005.5,6548733.81,678,904,2330,0,41,194,0,107,0,18,10,9,0,,,,,,,,,,,,,,,
3517703,2016,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
3517703,2016,3,25535351.66,17770409.02,6667478.44,25535351.66,17770409.02,6667478.44,217,306,1321,1156,77,76,56,65,50,5,5,6,2,,,,,,,,,,,,,,,
3525300,2016,2,,,,,,,0,0,0,4803,0,0,0,0,0,0,0,0,13,,,,,,,,,,,,,,,
3525300,2016,3,96096194.01,50891172.0,37029779.01,96096194.01,50891172.0,37029779.01,1349,2280,6528,636,325,332,59,281,35,29,26,19,1,,,,,,,,,,,,,,,
3526001,2016,2,,,,,,,0,0,0,821,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
3526001,2016,3,,,,,,,553,425,1110,0,28,59,0,48,0,4,7,3,0,,,,,,,,,,,,,,,
3527108,2016,2,,,,,,,0,0,2523,2789,0,0,0,0,0,0,0,8,10,,,,,,,,,,,,,,,
3527108,2016,3,42374601.91,0.0,0.0,43436898.27,0.0,0.0,870,1454,801,0,88,50,20,32,7,11,8,5,0,,,,,,,,,,,,,,,
3527702,2016,2,,,,,,,0,0,0,198,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
3527702,2016,3,4923137.26,3390137.79,1233003.98,4923137.26,3390137.79,1233003.98,141,122,343,0,5,19,0,16,0,1,1,1,0,,,,,,,,,,,,,,,
3529005,2016,2,,,,,,,15,0,2708,7244,0,0,0,0,0,1,0,12,28,,,,,,,,,,,,,,,
3529005,2016,3,160720488.8,59376720.79,69154109.38,164402844.16,61004580.39,71155124.67,4986,4760,7876,0,236,380,3,338,2,35,28,19,0,,,,,,,,,,,,,,,
3533700,2016,2,,,,,,,0,0,0,194,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
3533700,2016,3,,,,,,,143,118,323,0,3,16,0,13,0,1,1,1,0,,,,,,,,,,,,,,,
3534005,2016,2,,,,,,,0,0,0,232,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
3534005,2016,3,5385408.06,3503412.07,1796944.2,5385408.06,3503412.07,1796944.2,71,117,309,0,9,24,0,18,0,1,1,1,0,,,,,,,,,,,,,,,
3534708,2016,2,,,,,,,0,0,603,3076,0,0,0,0,0,0,0,4,13,,,,,,,,,,,,,,,
3534708,2016,3,79038720.31,67044423.24,10354731.93,79043648.54,67045082.88,10359000.52,1359,2232,5308,1518,235,346,112,234,64,17,23,12,3,,,,,,,,,,,,,,,
3540002,2016,2,,,,,,,0,0,0,729,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,
3540002,2016,3,18830836.22,11331715.48,6757559.26,18880337.29,11381216.55,6757559.26,329,420,990,0,24,59,0,50,0,3,3,3,0,,,,,,,,,,,,,,,
3541406,2016,2,,,,,,,26,4,2,7683,0,0,0,0,0,1,1,1,25,,,,,,,,,,,,,,,
3541406,2016,3,147993367.78,76771311.2,60700620.81,148500143.15,77271136.57,60707570.81,3754,3664,9246,0,247,346,4,346,4,31,32,31,0,,,,,,,,,,,,,,,
3541703,2016,2,,,,,,,0,0,0,439,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
3541703,2016,3,,,,,,,286,292,777,0,26,55,0,35,0,2,4,3,0,,,,,,,,,,,,,,,
3543907,2016,2,,,,,,,0,0,241,7708,0,0,0,0,0,0,0,2,18,,,,,,,,,,,,,,,
3543907,2016,3,139407005.31,69737823.45,48896958.25,140223851.02,70009571.79,49017618.23,3727,4018,9574,165,324,495,26,415,13,38,25,25,1,,,,,,,,,,,,,,,
3548906,2016,2,,,,,,,38,24,6416,7427,0,0,0,0,0,1,1,17,24,,,,,,,,,,,,,,,
3548906,2016,3,137994567.77,44789775.68,90185300.41,145980368.07,47947923.52,94521782.27,4389,4192,5061,677,286,291,53,190,25,47,32,8,2,,,,,,,,,,,,,,,
3555000,2016,2,,,,,,,0,0,1069,2407,0,0,0,0,0,0,0,6,6,,,,,,,,,,,,,,,
3555000,2016,3,32992416.77,19091956.33,10830792.22,33452963.19,19238015.87,11138523.1,779,1027,1844,0,52,127,6,93,3,7,13,10,0,,,,,,,,,,,,,,,
